keys,en
TR_MENU_LANGUAGE,"English"
TR_MENU_RESUME_GAME,"RESUME GAME"
TR_MENU_NEW_GAME,"NEW GAME"
TR_MENU_SAVE_GAME,"SAVE GAME"
TR_MENU_LOAD_GAME,"LOAD GAME"
TR_MENU_SETTINGS,"SETTINGS"
TR_MENU_QUIT,"QUIT"
TR_MENU_B_BACK,"BACK"
TR_MENU_B_RESET,"RESET TO DEFAULT"
TR_MENU_B_ACCEPT,"ACCEPT"
TR_MENU_SETTINGS_VIDEO,"VIDEO"
TR_MENU_SETTINGS_AUDIO,"AUDIO"
TR_MENU_SETTINGS_CONTROLS,"CONTROLS"
TR_MENU_SETTINGS_LANGUAGE,"LANGUAGE"
TR_MENU_SETTINGS_RESOLUTION,"RESOLUTION"
TR_MENU_SETTINGS_FULLSCREEN,"USE FULLSCREEN"
TR_MENU_SETTINGS_VSYNC,"USE VSYNC"
TR_MENU_SETTINGS_BRIGHTNESS,"BRIGHTNESS"
TR_MENU_SETTINGS_SOUND,"SOUND"
TR_MENU_SETTINGS_MUSIC,"MUSIC"
TR_MENU_SETTINGS_LANGUAGE_EN,"ENGLISH"
TR_MENU_SETTINGS_CONTROL_CATEGORY_MOVEMENT,"MOVEMENT"
TR_MENU_SETTINGS_CONTROL_UP,"UP"
TR_MENU_SETTINGS_CONTROL_DOWN,"DOWN"
TR_MENU_SETTINGS_CONTROL_LEFT,"LEFT"
TR_MENU_SETTINGS_CONTROL_RIGHT,"RIGHT"
TR_MENU_SETTINGS_CONTROL_ASSIGN,"Press any key to assign.\nPress ESC to cancel."
TR_MENU_LOADSAVE_LOAD,"LOAD"
TR_MENU_LOADSAVE_SAVE,"SAVE"
TR_MENU_LOADSAVE_NEW_SAVE,"NEW SAVE"
TR_MENU_LOADSAVE_SAVE_PLACEHOLDER,"save game name"
TR_MENU_LOADSAVE_OVERWRITE,"OVERWRITE"
TR_MENU_LOADSAVE_OVERWRITE_WINDOW_TEXT,"Do you really want to overwrite this save file?"
TR_MENU_LOADSAVE_DELETE_WINDOW_TEXT,"Do you really want to delete this save file?"
TR_CAPS_ON,"ON"
TR_CAPS_OFF,"OFF"
TR_YES,"YES"
TR_NO,"NO"
